id,value,color
Root,,
Root.heart,,
Root.heart.1180327,0.594258905,#007fb7
Root.heart.5016781,0.833337703,#0066aa
Root.heart.5014340,0.875236031,#0062a7
Root.heart.1191407,0.646903903,#0079b4
Root.heart.5021150,0.753460025,#006fae
Root.heart.5014340,0.753460024,#006fae
Root.heart.1198029,0.342470317,#0099c6
Root.heart.1178183,0.513701685,#0087bc
Root.pain,,
Root.pain.1194504,0.52777186,#4c004e
Root.pain.5016566,0.556373643,#47004a
Root.pain.1178946,0.366393421,#640f66
Root.pain.1172711,0.599525002,#410043
Root.pain.1173986,0.366393461,#640f66
Root.pain.1174538,0.366393215,#651067
Root.pain.1200347,0.615782562,#3e0041
Root.pain.1174560,0.366393451,#640f66
Root.pain.5021495,0.508903826,#4f0051
Root.pain.1178974,0.461401292,#560058
Root.pain.1193706,0.366393432,#640f66
Root.infection,,
Root.infection.5015792,0.243829433,#1e558b
Root.infection.5009830,0.307034916,#134c85
Root.infection.1198029,0.162553213,#1e558b
Root.infection.5022938,0.243829433,#1e558b
Root.infection.5026416,0.307025333,#134c85
Root.infection.5038738,0.243829433,#1e558b
Root.infection.1178951,0.243829433,#1e558b
Root.infection.1173647,0.243829433,#1e558b
Root.infection.1195940,0.243829433,#1e558b
Root.infection.5016566,0.406348431,#003c7b
Root.infection.1174580,0.357538368,#084480
Root.infection.1195691,0.243795058,#1e558b
Root.blood,,
Root.blood.1182127,0.08730299,#ac0b0b
Root.blood.1190290,0.08730299,#ac0b0b
Root.blood.1200377,0.08730299,#ac0b0b
Root.blood.1190285,0.08730299,#ac0b0b
Root.blood.1180661,0.08730299,#ac0b0b
Root.blood.5010903,0.08730299,#ac0b0b
Root.blood.1198396,0.576173916,#950000
Root.blood.1191407,0.08730299,#ac0b0b
Root.blood.1198204,0.08730299,#ac0b0b
Root.blood.1175722,0.08730299,#ac0b0b
Root.blood.5041594,0.08730299,#ac0b0b
Root.blood.5030169,0.08730299,#ac0b0b
Root.blood.5020501,0.26201744,#ab0909
Root.blood.5031364,0.08730299,#ac0b0b
Root.blood.5026400,0.08730299,#ac0b0b
Root.blood.5016316,0.08730299,#ac0b0b
Root.blood.5015425,0.08730299,#ac0b0b
Root.blood.1173477,0.08730299,#ac0b0b
Root.blood.1192920,0.08730299,#ac0b0b
Root.blood.1179621,0.08730299,#ac0b0b
Root.blood.1178971,0.08730299,#ac0b0b
Root.blood.1193828,0.08730299,#ac0b0b
Root.blood.1198023,0.08730299,#ac0b0b
Root.blood.1177939,0.08730299,#ac0b0b
Root.blood.1180485,0.08730299,#ac0b0b
Root.blood.1198208,0.08730299,#ac0b0b
Root.blood.1198207,0.08730299,#ac0b0b
Root.blood.1191265,0.08730299,#ac0b0b
Root.blood.1200096,0.08730299,#ac0b0b
Root.blood.1190638,0.08730299,#ac0b0b
Root.blood.1200347,0.08730299,#ac0b0b
Root.blood.1173647,0.08730299,#ac0b0b
Root.blood.1196209,0.08730299,#ac0b0b
Root.blood.1194504,0.08730299,#ac0b0b
Root.blood.1179025,0.08730299,#ac0b0b
Root.blood.1180061,0.08730299,#ac0b0b
Root.blood.1173647,0.08730299,#ac0b0b
Root.blood.1198029,0.392863407,#a20000
Root.blood.1190473,0.08730299,#ac0b0b
Root.blood.1179054,0.08730299,#ac0b0b
Root.blood.1191407,0.08730299,#ac0b0b
Root.blood.1190290,0.08730299,#ac0b0b
Root.blood.5024962,0.08730299,#ac0b0b
Root.blood.5005009,0.576138933,#950000
Root.blood.1193828,0.08730299,#ac0b0b
Root.blood.5011143,0.08730299,#ac0b0b
Root.blood.1193828,0.08730299,#ac0b0b
Root.blood.1197783,0.08730299,#ac0b0b
Root.blood.1191407,0.08730299,#ac0b0b
Root.blood.1198439,0.3928634,#a20000
Root.blood.1177360,0.08730299,#ac0b0b
Root.blood.1200377,0.08730299,#ac0b0b
Root.blood.1177939,0.08730299,#ac0b0b
Root.blood.1195954,0.08730299,#ac0b0b
Root.blood.1193828,0.08730299,#ac0b0b
Root.blood.1189948,0.08730299,#ac0b0b
Root.blood.1173647,0.08730299,#ac0b0b
Root.women_related,,
Root.women_related.5030029,0.061592635,#ff007d
Root.women_related.5011887,0.061579962,#ff007d
Root.women_related.5005070,0.07744289,#ff007d
Root.women_related.1192846,0.048906699,#ff007d
Root.women_related.1193840,0.067924829,#ff007d
Root.diabetes,,
Root.diabetes.1199435,0.234235817,#5c25c8
Root.diabetes.1180485,0.234233129,#5c25c8
Root.diabetes.1180313,0.294527612,#551cc6
Root.diabetes.5022938,0.185995143,#5c25c8
