id,value,color
Root
Root.heart
Root.heart.1190290,0.060284081103,#0085bb
Root.heart.1177939,0.060284081103,#0085bb
Root.heart.1180327,0.060284081103,#0085bb
Root.heart.1180327,0.060284081103,#0085bb
Root.heart.1190290,0.060284081103,#0085bb
Root.heart.1195157,0.060284081103,#0085bb
Root.heart.1198618,0.060284081103,#0085bb
Root.heart.5001843,0.060284081103,#0085bb
Root.heart.1182236,0.060284081103,#0085bb
Root.heart.5002406,0.060284081103,#0085bb
Root.heart.5001654,0.060284081103,#0085bb
Root.heart.5003325,0.060284081103,#0085bb
Root.heart.5000689,0.060284081103,#0085bb
Root.heart.1198033,0.060284081103,#0085bb
Root.heart.5005070,0.215351269048,#0085bb
Root.heart.5009216,0.255348541909,#0085ba
Root.heart.5001672,0.27120797154,#0083b9
Root.heart.1198523,0.271207401455,#0083b9
Root.heart.1174106,0.353556904879,#007bb5
Root.heart.1200089,0.368716101911,#0079b4
Root.heart.1200084,0.376649835787,#0078b3
Root.heart.1199683,0.376323078542,#0078b3
Root.heart.1200366,0.397851679146,#0076b2
Root.heart.5004706,0.397853494572,#0076b2
Root.heart.1199595,0.435373909776,#0072b0
Root.heart.5002026,0.45211658712,#0071af
Root.pain
Root.pain.1200347,0.369580309752,#440046
Root.pain.5005263,0.313547597232,#4d004f
Root.pain.1176182,0.158291242317,#560059
Root.pain.1200374,0.385333597774,#420044
Root.pain.5007652,0.356905683853,#460048
Root.pain.5005067,0.270424142653,#530055
Root.pain.5000492,0.24336725679,#560059
Root.pain.5003808,0.162239725667,#560059
Root.pain.1196417,0.265023138636,#540056
Root.pain.1199559,0.378541777942,#430045
Root.pain.1200300,0.162269643266,#560059
Root.pain.1199589,0.243367225996,#560059
Root.pain.5000186,0.243360863521,#560059
Root.pain.1198617,0.356881134674,#460048
Root.pain.1198625,0.40112548259,#3f0042
Root.pain.1198626,0.243362675927,#560059
Root.pain.1199415,0.243360302886,#560059
Root.pain.5000473,0.306401093308,#4e0050
Root.pain.1200096,0.306382240405,#4e0050
Root.pain.1199859,0.416874783483,#3d003f
Root.pain.1180661,0.243367040749,#560059
Root.pain.5000186,0.243360642951,#560059
Root.pain.1200347,0.243383741291,#560059
Root.infection
Root.infection.5000991,0.239235863972,#185088
Root.infection.5001801,0.177141529147,#185088
Root.infection.5003781,0.129784598331,#185088
Root.infection.2000021,0.195443200385,#185088
Root.infection.1198624,0.142465688754,#185088
Root.infection.1200087,0.141895370808,#185088
Root.infection.1200357,0.140700963495,#185088
Root.infection.1199950,0.176081107609,#185088
Root.infection.1200000,0.195264539366,#185088
Root.infection.1199210,0.213700240691,#185088
Root.infection.5002056,0.17720608682,#185088
Root.lung_liver
Root.lung_liver.5008403,0.143376114057,#7e0000
Root.lung_liver.1199079,0.197303663995,#7e0000
Root.lung_liver.1200377,0.159759651321,#7e0000
Root.lung_liver.1199949,0.295119096531,#790000
Root.lung_liver.5002056,0.159749197057,#7e0000
Root.women_related
Root.women_related.1189739,0.441697358055,#ff0077
Root.women_related.1200372,0.236695064067,#ff048c
Root.women_related.1200375,0.409145334185,#ff007a
Root.women_related.5008989,0.351139333576,#ff0081
Root.women_related.5007727,0.185979672731,#ff048c
Root.women_related.1176183,0.387378389544,#ff007d
Root.women_related.1174106,0.278911353234,#ff0088
Root.muscle
Root.muscle.5002056,0.483138286391,#e36700
Root.muscle.1198616,0.655153750459,#df4f00
Root.muscle.5002056,0.399967502634,#e67300
Root.diabetes
Root.diabetes.5000186,0.254040962564,#5e28c9
Root.diabetes.1199596,0.264936713637,#5c26c8
Root.diabetes.5000186,0.316977329178,#541bc6
Root.diabetes.1195157,0.367991705014,#4c11c3
Root.diabetes.2000092,0.412099791526,#4508c1
Root.diabetes.5008459,0.433545529789,#4203c0
Root.diabetes.5005009,0.40229105768,#470ac1
Root.diabetes.1198615,0.460174822109,#3e00be
Root.diabetes.1199416,0.202111316824,#5e29c9
Root.diabetes.1199435,0.202280011615,#5e29c9
Root.diabetes.5000186,0.333646867035,#5118c5
Root.diabetes.1180327,0.333638310965,#5118c5
Root.diabetes.1180624,0.264936731454,#5c26c8
