id,value,color
Root,,
Root.heart,,
Root.heart.1180327,0.1,#19a3cb
Root.heart.5016781,0.1,#19a3cb
Root.heart.5014340,0.1,#19a3cb
Root.heart.1191407,0.2,#32add1
Root.heart.5021150,0.3375,#56bbd9
Root.heart.5014340,0.1,#19a3cb
Root.heart.1198029,0.6,#99d6e8
Root.heart.1178183,0.208333333,#35aed1
Root.pain,,
Root.pain.1194504,0.1,#742776
Root.pain.5016566,0.524318474,#b58db6
Root.pain.1178946,0.581122449,#be9abf
Root.pain.1172711,0.26875,#8e508f
Root.pain.1173986,0.4,#a26fa3
Root.pain.1174538,0.6,#c19fc2
Root.pain.1200347,0.1,#742776
Root.pain.1174560,0.566071429,#bc97bd
Root.pain.5021495,0.549074074,#b993ba
Root.pain.1178974,0.1,#742776
Root.pain.1193706,0.95,#f7f3f7
Root.infection,,
Root.infection.5015792,0.316666667,#7294b6
Root.infection.5009830,0.575595238,#a7bcd2
Root.infection.1198029,0.6,#acc0d4
Root.infection.5022938,0.44377193,#8ca8c4
Root.infection.5026416,0.382539683,#7f9ebd
Root.infection.5038738,0.444871795,#8ca8c4
Root.infection.1178951,0.1,#45729f
Root.infection.1173647,0.2,#5a82aa
Root.infection.1195940,0.1,#45729f
Root.infection.5016566,0.524318474,#9db4cc
Root.infection.1174580,0.73125,#c7d5e2
Root.infection.1195691,0.446875,#8da8c4
Root.blood,,
Root.blood.1182127,0.1,#bf4242
Root.blood.1190290,0.1,#bf4242
Root.blood.1200377,0.53452381,#dd9d9d
Root.blood.1190285,0.1,#bf4242
Root.blood.1180661,0.1,#bf4242
Root.blood.5010903,0.583862434,#e1a8a8
Root.blood.1198396,0.1,#bf4242
Root.blood.1191407,0.2,#c65757
Root.blood.1198204,0.1,#bf4242
Root.blood.1175722,0.6,#e2abab
Root.blood.5041594,0.766666667,#eecece
Root.blood.5030169,0.553632479,#dfa1a1
Root.blood.5020501,0.298571429,#cd6c6c
Root.blood.5031364,0.1,#bf4242
Root.blood.5026400,0.1,#bf4242
Root.blood.5016316,0.612698413,#e3aeae
Root.blood.5015425,0.7625,#eecdcd
Root.blood.1173477,0.65,#e6b5b5
Root.blood.1192920,0.1,#bf4242
Root.blood.1179621,0.1,#bf4242
Root.blood.1178971,0.1,#bf4242
Root.blood.1193828,0.1,#bf4242
Root.blood.1198023,0.1,#bf4242
Root.blood.1177939,0.1,#bf4242
Root.blood.1180485,0.40771164,#d48383
Root.blood.1198208,0.1,#bf4242
Root.blood.1198207,0.4,#d48181
Root.blood.1191265,0.45,#d78c8c
Root.blood.1200096,0.1,#bf4242
Root.blood.1190638,0.5,#db9696
Root.blood.1200347,0.1,#bf4242
Root.blood.1173647,0.2,#c65757
Root.blood.1196209,0.1,#bf4242
Root.blood.1194504,0.1,#bf4242
Root.blood.1179025,0.1,#bf4242
Root.blood.1180061,0.361111111,#d17979
Root.blood.1173647,0.2,#c65757
Root.blood.1198029,0.6,#e2abab
Root.blood.1190473,0.333333333,#cf7373
Root.blood.1179054,0.6,#e2abab
Root.blood.1191407,0.2,#c65757
Root.blood.1190290,0.1,#bf4242
Root.blood.5024962,0.75,#edcaca
Root.blood.5005009,0.625,#e4b0b0
Root.blood.1193828,0.1,#bf4242
Root.blood.5011143,0.51,#dc9898
Root.blood.1193828,0.1,#bf4242
Root.blood.1197783,0.1,#bf4242
Root.blood.1191407,0.2,#c65757
Root.blood.1198439,0.3,#cd6c6c
Root.blood.1177360,0.1,#bf4242
Root.blood.1200377,0.53452381,#dd9d9d
Root.blood.1177939,0.1,#bf4242
Root.blood.1195954,0.1,#bf4242
Root.blood.1193828,0.1,#bf4242
Root.blood.1189948,0.1,#bf4242
Root.blood.1173647,0.2,#c65757
Root.women_related,,
Root.women_related.5030029,0.5375,#ff92cd
Root.women_related.5011887,0.494166506,#ff88c8
Root.women_related.5005070,0.1125,#ff2e9f
Root.women_related.1192846,0.525,#ff8fcb
Root.women_related.1193840,0.3,#ff5ab3
Root.diabetes,,
Root.diabetes.1199435,0.478571429,#af94e4
Root.diabetes.1180485,0.40771164,#a486e0
Root.diabetes.1180313,0.402419048,#a385e0
Root.diabetes.5022938,0.44377193,#a98de2
