id,value,color
Root
Root.pain
Root.pain.5056352,0.456063077805,#530056
Root.pain.5048825,0.456159261896,#530056
Root.pain.1190315,0.633450007472,#38003b
Root.pain.5013621,0.633448151263,#38003b
Root.pain.5052341,0.344626514021,#651067
Root.pain.5047480,0.456158646801,#530056
Root.pain.5042864,0.456064929429,#530056
Root.pain.1182144,0.709572561318,#2c002f
Root.pain.1192606,0.574431469832,#410044
Root.infection
Root.infection.5051349,0.166283305594,#1f558c
Root.infection.5049308,0.34634442395,#0b4681
Root.infection.1200375,0.394925771047,#013f7c
Root.infection.1197783,0.249416188319,#1f558c
Root.infection.5055565,0.365791772667,#07437f
Root.infection.5053017,0.16630009508,#1f558c
Root.infection.1178342,0.31413314444,#124b85
Root.infection.5055951,0.314118477367,#124b85
Root.infection.5045846,0.31408686446,#124b85
Root.infection.5056310,0.337205647793,#0d4882
Root.infection.5050137,0.249411464413,#1f558c
Root.infection.5030169,0.378786271437,#05417e
Root.infection.1194154,0.24940842988,#1f558c
Root.infection.1198027,0.24941848642,#1f558c
Root.lung_liver
Root.lung_liver.5055560,0.232998820851,#890202
Root.lung_liver.5048400,0.440093999055,#720000
Root.lung_liver.5046324,0.540139208066,#670000
Root.lung_liver.5051436,0.560922160196,#640000
Root.lung_liver.5055373,0.232998826314,#890202
Root.lung_liver.1178955,0.440109948259,#720000
Root.lung_liver.5044391,0.349429784297,#7d0000
Root.lung_liver.5043832,0.349430643743,#7d0000
Root.lung_liver.5030029,0.440044135659,#720000
Root.lung_liver.1174033,0.232998825373,#890202
Root.lung_liver.1177360,0.440093947963,#720000
Root.lung_liver.1177360,0.349499068983,#7d0000
Root.blood
Root.blood.1198208,0.458145849504,#a70000
Root.blood.5050684,0.521759318994,#a30000
Root.blood.1199683,0.576789099547,#9f0000
Root.blood.1197790,0.305438445597,#b21e1e
Root.blood.1174106,0.229087736061,#b62929
Root.women_related
Root.women_related.5054160,0.188291979745,#ff0085
Root.women_related.5055267,0.234224873141,#ff0085
Root.women_related.5057810,0.28933511817,#ff0081
Root.women_related.5050403,0.234193203294,#ff0085
Root.women_related.5058941,0.289323375427,#ff0081
Root.women_related.5059586,0.172218749932,#ff0085
Root.women_related.1194504,0.258334215316,#ff0084
Root.women_related.1191739,0.124003642807,#ff0085
Root.women_related.1191500,0.258336307578,#ff0084
Root.women_related.1193847,0.124002295092,#ff0085
Root.muscle
Root.muscle.1193706,0.0413445999379,#e05500
Root.muscle.1181543,0.0413445999379,#e05500
Root.muscle.5049936,0.258403743304,#e05400
Root.muscle.5055259,0.0413445999379,#e05500
Root.muscle.5060201,0.294579205758,#df4f00
Root.muscle.5055659,0.0413445999379,#e05500
Root.muscle.1197783,0.0413445999379,#e05500
Root.muscle.1194436,0.0413445999379,#e05500
Root.muscle.1179031,0.0413445999379,#e05500
Root.muscle.1179056,0.0413445999379,#e05500
Root.muscle.5055395,0.0413445999379,#e05500
Root.muscle.5042675,0.0413445999379,#e05500
Root.muscle.1191500,0.0413445999379,#e05500
Root.muscle.1193744,0.0413445999379,#e05500
Root.muscle.1172688,0.0413445999379,#e05500
Root.muscle.5039662,0.0413445999379,#e05500
Root.muscle.1178161,0.0413445999379,#e05500
Root.muscle.5054588,0.0413445999379,#e05500
Root.muscle.5047419,0.0413445999379,#e05500
Root.muscle.5052387,0.0413445999379,#e05500
Root.muscle.5047379,0.0413445999379,#e05500
Root.muscle.5042869,0.0413445999379,#e05500
Root.muscle.5049056,0.0413445999379,#e05500
Root.muscle.1194612,0.0413445999379,#e05500
Root.muscle.1192940,0.0413445999379,#e05500
Root.muscle.1174525,0.124059236983,#e05500
Root.muscle.1190319,0.0413445999379,#e05500
Root.muscle.1179621,0.0413445999379,#e05500
Root.muscle.1200000,0.0413445999379,#e05500
Root.muscle.1179621,0.0413445999379,#e05500
Root.muscle.1197783,0.0413445999379,#e05500
Root.muscle.1182236,0.0413445999379,#e05500
Root.muscle.1177939,0.0413445999379,#e05500
Root.muscle.1178161,0.0413445999379,#e05500
Root.muscle.1193840,0.0413445999379,#e05500
Root.muscle.1193844,0.0413445999379,#e05500
Root.muscle.1197790,0.0413445999379,#e05500
Root.muscle.1181816,0.0413445999379,#e05500
Root.muscle.1189733,0.0413445999379,#e05500
Root.muscle.1179603,0.186050683426,#e05500
Root.muscle.1182236,0.0413445999379,#e05500
Root.muscle.1191500,0.0413445999379,#e05500
Root.muscle.1191265,0.0413445999379,#e05500
Root.muscle.2000014,0.0413445999379,#e05500
